title;artist;genre;power;key;bpm
Faya fi dem;Natural High Dubs, Marcus I;Dub, Vocal, Digital, ElectroDub, Steppa;3;3m;133.999649
Run fi cover;Natural High Dubs, Marcus I;Dub, Vocal, Digital, ElectroDub, Steppa;3;12m;133.999924
Warriors;Natural High Dubs, Marcus I;Dub, Vocal, Digital, ElectroDub, Steppa;2;2m;67.499641
Blacksmith dub melodica;Natural High Dubs, Marcus I;Dub, Instru, Digital, Steppa, Melodic;3;4m;124.499611
4.20 PM (Smoking Sessions 1);Tetra Hydro K;Dub, Instru, Sample, FR, HipHop;2;12m;89.000076
White Wedub;Tetra Hydro K;Dub, Instru, Digital, Melodic, Chill, Sax;2;5m;124.999626
Too Much Weed ft. Robinson;Tetra Hydro K, Robinson;Rap, Vocal, Digital, HipHop;2;10m;93.999695
Dub'N'Kone ft. Dubanko;Tetra Hydro K , Dubanko;Dub, Instru, Digital, Steppa, Chill;2;2m;130.999481
Apolojazz (Smoking Sessions 2);Tetra Hydro K, Sama Renuka;Dub, Instru, Digital, Chill;2;9m;94.999786
So Good So Far (Tetra Hydro K remix);Zenzile, Tetra Hydro K;Dub, Vocal, Digital, Chill, Melodic;2;9m;87.999718
Purple Skanking;Tetra Hydro K;Dub, Instru, Digital, Chill;2;11m;95.999451
Haze Impact;Tetra Hydro K;Dub, Instru, Digital, ElectroDub, Chill, Melodic, Sax;3;4m;70.000404
Hyden Kush;Tetra Hydro K;Dub, Instru, Digital, Chill, HipHop;2;10m;92.999756
Saxtiva;Tetra Hydro K;Dub, Instru, Digital, Chill, Melodic;3;2m;70.00045
Papers, please !;Tetra Hydro K;Dub, Instru, ElectroDub, Other, Chill;3;9m;70.000237
Out Of Africa - Aku Fen remix;Aku Fen, Roots Raid, Cookah, Likkle Ferguson;Dub, Vocal, Digital, ElectroDub, Slow;3;;68.499794
Neptune Navy - Ashkabad remix;Ashkabad, Dub Shepherds, Jolly Joseph;Dub, Vocal, ElectroDub, Melodic, Progressive;3;;146.000168
World In A Dub Clash - JAHNO remix;JAHNO, Dub Master Clash, Echo Minott;Dub, Vocal, Dirty, Spring;3;;67.70813
Do Di Ting - Panda Dub remix;Panda Dub, Roots Raid, Peter Youthman;Dub, Vocal, Digital, ElectroDub;3;;73.500206
Willie's Vault - Pilah remix;Pilah, Anti Bypass;Dub, Instru, ElectroDub, Chill;3;;78.000412
Flight For Your Right - Roots Raid remix;Roots Raid, Aku Fen, El Fata;Dub, Instru, ElectroDub, Other, Dirty;3;;75.001472
Gangsta hits;Phibes;Electro, DnB, Jungle, Vocal;4;7m;174.000351
Praise him - Riddim tuffa feat. Danman (Feldub edit);Riddim Tuffa, Feldub, Danman;Dub, Vocal, Digital, Steppa;3;;145.000046
Feldub feat. Danman - Fire Blazing (Echoboy remix);Feldub, Echoboy, Danman;Dub, Vocal, Digital, Steppa;3;;139.999725
Praise him - Feldub riddim;Riddim Tuffa, Feldub, Echoboy, Danman;Dub, Instru, Digital, Steppa;3;;144.999756
Fire Blazing - Echoboy Riddim;Riddim Tuffa, Feldub, Echoboy, Danman;Dub, Instru, Digital, Steppa;3;;139.999863
