title;artist;genre;power;key;bpm
Youth Are The Future - DanI Locks meets Jah Sonic;Dan I Locks, Jah Sonic Geometry;Dub, Vocal, Digital;3;12m;138.999695
Blue Hill - Bachala Dub_Dubbing Sun & Digid remix;Blue Hill, Dubbing Sun, Digid;Dub, Instru, Digital, Electrodub, Vocal, Heavy;4;9m;139.79393
Spine traveller;Ashkabad ;Dub, Instru, Digital;2;11m;114.999878
Ikiny;Khoe-Wa, Luiza;Dub, Vocal, Digital, Electrodub;2;10m;95.999634
Better Life (Roots Raid Remix);Mexican Stepper, Sista Bethsab;Dub, Vocal, Digital, Electrodub;3;;71.00016
Signs - Barbés.D feat. Sista Bethsabée;Barbés D, Sista Bethsabée;Dub, Vocal, Digital, Chill;2;;130.000015
Musica_Remix;OBF, Belén Natali, Sr Wilson;Dub, Vocal, ElectroDub, Heavy;3;;137.999496
Cool It Down;PlusStepper, KattyGyal Kenta;Dub, Vocal, Digital, Electrodub, Steppa;4;2m;70.000099
After the fasting;Dub Cooker;Dub, Vocal, Sample, Steppa, Digital;3;9m;152.000381
Lightning and Thunder;Le Lab;Dub, Instru, Digital, Steppa;3;12m;114.99955
Sub Conscious;Ashkabad ;Dub, Vocal, Electrodub, Digital;3;5m;132.000549
Kepler's Belt;Dubbytek;Dub, Instru, Digital, Steppa;3;1m;77.499626
Ra Sin;Khoe-Wa, Luiza;Dub, Vocal, Digital, Electrodub;4;2m;63.499912
Arabian Skank;PlusStepper;Dub, Vocal, Digital, Steppa;3;11d;149.999924
Better Dub (Roots Raid Remix);Mexican Stepper, Sista Bethsab;Dub, Instru, Digital, Electrodub;3;;70.999695
Warrior Arena - Digital Seal Hi-Fi;Digital Seal Hi-Fi;Dub, Vocal, Digital, Steppa;3;;143.000519
King Size;Dub Cooker;Dub, Vocal, Sample, Digital, Steppa;3;11d;138.000946
Lost In Space;Dubbytek;Dub, Instru, Digital, Electrodub, Dubstep;3;8m;71.000046
Tinoda;Khoe-Wa, Luiza;Dub, Vocal, Digital, Electrodub;3;3m;139.999985
Forward;PlusStepper;Dub, Vocal, Digital, Steppa;3;11m;139.999619
Better Life (Mr Zebre Remix);Mexican Stepper, Sista Bethsab;Dub, Vocal, Digital;4;;141.999878
Cure Them;"Paul ""Pilah"" Kozmik, Joe Pilgrim";Dub, Vocal, Digital, Electrodub, Heavy, Steppa, Future;3;;120.033279
Dub Voyage;PlusStepper;Dub, Instru, Digital, Steppa;3;2m;99.999649
Le Vin;Dub Cooker;Dub, Instru, Digital, Steppa, Uptempo;4;10m;181.00029
The streets (Feat. Nai Jah);Ashkabad ;Dub, Vocal, Digital;2;1d;131.99939
Solaris Dub;Dubbytek;Dub, Instru, Digital, Steppa, Electrodub, Future;3;3m;143.000153
Fairysong;Khoe-Wa, Luiza;Dub, Vocal, Digital, Electrodub;3;9m;147.999771
Bless;PlusStepper;Dub, Vocal, Digital, Steppa;3;1m;145.000137
Better Dub (Mr Zebre Remix);Mexican Stepper, Sista Bethsab;Dub, Instru, Digital;4;;141.999817
Irie - Mexican Stepper feat. Sista Bethsab;Mexican Stepper, Sista Bethsab;Dub, Vocal, Steppa, ElectroDub;3;;138.00032
Oj Lyuli;PlusStepper, Mila Mazur;Dub, Vocal, Digital, Melodic;3;1m;175.000015
Space cake;Dub Cooker;Dub, Instru, Digital, Steppa;3;11m;140.005142
Spring Vibe;Le Lab;Dub, Instru, Digital;2;1m;67.500092
Exuvia;Ashkabad ;Dub, Instru, Digital, Electrodub, Dubstep;3;1m;73.999886
Around Red Planet;Dubbytek, Razaman;Dub, Vocal, Digital, Steppa;3;4m;147.998947
Nadjilo;Khoe-Wa, Luiza;Dub, Vocal, Digital, Melodic, Steppa;3;11m;137.99942
Captain Jah;PlusStepper;Dub, Vocal, Digital, Steppa, Electrodub;3;12d;140.000015
Better Life (Antxon Saguardi Remix);Mexican Stepper, Sista Bethsab;Dub, Vocal, Digital, Electrodub;3;;141.999741
Spellin' - Digital Seal Hi-Fi;Digital Seal Hi-Fi;Dub, Vocal, Digital, Steppa, Chill;2;;145.000168
Koby Ne Moroz;PlusStepper, Mila Mazur;Dub, Vocal, Digital, Electrodub, Steppa;3;3m;139.999863
Ital Stew;Dub Cooker;Dub, Instru, Digital, Electrodub, Steppa;3;6m;149.999908
Rive droite;Ashkabad ;Dub, Vocal, Digital, Electrodub, Progressive;3;12m;152.000488
Welcome On Earth;Dubbytek;Dub, Vocal, Digital, Steppa, Electrodub;3;1m;143.999756
Inna Ghetto;PlusStepper;Dub, Instru, Steppa, Digital;3;9m;139.999878
Better Dub (Antxon Saguardi Remix);Mexican Stepper, Sista Bethsab;Dub, Instru, Digital, Electrodub;3;;141.999451
Signs Dub - Barbés.D feat. Sista Bethsabé;Barbés D, Sista Bethsabée;Dub, Vocal, Digital, Chill;2;;64.999817
Blinded;PlusStepper;Dub, Instru, Steppa, Digital;4;8m;139.999359
Cold rainy night feat. Artz (Escoyra Sound);Le Lab, Artz;Dub, Instru, Downtempo;3;2m;65.000137
Countdown Feat. Joe Pilgrim;Ashkabad ;Dub, Vocal, Digital, Steppa, Electrodub;3;9m;116.000351
Beauty Of Gaia;Dubbytek, Razaman;Dub, Vocal, Digital, Electrodub, Steppa;4;1m;147.999893
Eartical Dub;PlusStepper;Dub, Instru, Digital, Steppa;4;1m;140.000046
Better Life (DU3normal Remix);Mexican Stepper, Sista Bethsab;Dub, Vocal, Digital, Steppa;4;;70.999939
Dub Arena - Digital Seal Hi-Fi;Digital Seal Hi-Fi;Dub, Instru, Digital, Steppa;3;;143.000336
Wrap it up;Ashkabad ;Dub, Vocal, Sample, FR, Digital, Electrodub, Uptempo;4;1m;69.999779
War On Earth;Dubbytek;Dub, Instru, Digital, Steppa;3;6m;137.500305
Don't Stop Dance;PlusStepper;Dub, Vocal, Steppa, Digital, Electrodub;3;12m;140.000092
Better Dub (DU3normal Remix);Mexican Stepper, Sista Bethsab;Dub, Instru, Digital, Steppa;4;;141.999847
Asian Train;PlusStepper;Dub, Vocal, Digital, Steppa, Electrodub;3;11m;149.999817
Black Mamba;Ashkabad ;Dub, Instru, Digital, Steppa, Electrodub;4;1m;144.999969
Human Disaster;Dubbytek, Razaman;Dub, Vocal, Digital, Steppa, Electrodub;4;4m;155.999634
Irie Dub - Mexican Stepper feat. Sista Beth;Mexican Stepper, Sista Beth;Dub, Instru, ElectroDub;3;;138.00058
Step By Step Part 3;PlusStepper;Dub, Instru, Digital, Electrodub, Steppa;4;10m;139.999741
Luran Dub;Dubbytek;Dub, Instru, Digital, Electrodub, Steppa;4;11m;143.999908
Maha Durga;Footprint System;Dub, Vocal, Digital, Steppa;3;10m;129.999146
Creation Stepper;Lo-End Dub, Marcus I;Dub, Vocal, Digital, Dubadub;3;7m;72.499992
Dub connections (Feat. FabassTone Mahom Brainless);Ashkabad ;Dub, instru, Digital, Electrodub, Dubstep;3;8m;72.499245
Good Side Of Humanity;Dubbytek;Dub, Instru, Steppa, Digital;4;2m;145.500031
Pack Ice;Steel Alive;Dub, Vocal, Digital, Steppa, Electrodub;4;2m;141.999496
Spellin' Dub - Digital Seal Hi-Fi;Digital Seal Hi-Fi;Dub, Instru, Digital, Steppa;3;;145.000198
dUAb Station;PlusStepper;Dub, Instru, Steppa, Digital;3;2m;140.000107
How Many Bigs Bounces;Dubbytek;Dub, Instru, Steppa, Digital, Electrodub;3;11m;127.999275
Apaches Riddim;Dubbytek;Dub, Instru, Digital, Steppa, Electrodub;4;1m;142.999161
Around Dub Planet;Dubbytek;Dub, Instru, Steppa, Digital, Electrodub;4;4m;147.998734
Black town;Monolow;Dub, Vocal, ElectroDub, Dubstep;4;1m;69.999901
Fight For Dub;Dubbytek;Dub, Instru, Digital, Electrodub, Steppa, Uptempo;4;10m;139.999756
Creation Sax;Jahwind;Dub, Instru, Digital, Sax;3;7m;72.499695
Can I Make a Wish;Kandee, Lix;Dub, Vocal, Digital;2;4m;122.999786
Maha Durga;Obeah;Dub, Vocal, Digital;3;12m;130.000793
24k -Tatrac Feat Gappy Ranks;Tatrac, Gappy Ranks;Dub, Vocal, Digital, Steppa, Downtempo;3;;121.001968
From The Night;Dubbytek;Dub, Instru, Steppa, Digital, Electrodub;4;9m;139.999924
Creation Dub;Lo-End Dub;Dub, Vocal, Digital;3;7m;72.499916
Maha Durga;Prayanam;Dub, Vocal, Digital;3;3m;130.000931
Run and Go Hide;Roots Zombie, Gary Clunk;Dub, Vocal, Melodic, Steppa;4;10m;143.0
Artibella - feat Youthman;Radadub, Youthman;Dub, Vocal, Digital;3;1m;139.993057
30HzInvasion;Ishiban;Dub, Instru, Steppa, Heavy;5;11m;97.500114
Society (Ashkabad Remix);Brainless, Preacha, Ashkabad;Dub, Vocal, Digital;3;9m;137.999817
Million and Million People;Dubbytek, Razaman;Dub, Vocal, Digital, Steppa;4;1m;146.000336
Creation Stepper remix;Natural High Dubs;Dub, Vocal, Steppa, Digital, Dubadub;4;7m;144.999985
Stepper Delight;Dubbytek;Dub, Instru, Digital, Steppa, Electrodub;4;9m;137.999557
Run and Go Hide;Full Dub;Dub, Vocal, Steppa, Digital, Electrodub;3;10m;71.500153
Dub Creation;Génesis Candela;Dub, Instru, Digital, Electrodub;3;7m;72.499504
Sister Let Him Go;Junkyard Productions;Dub, Vocal, Digital, Progressive;3;1m;90.830147
No Bother Jump;Bisou;Dub, Vocal, Digital, Electrodub;3;2m;134.000198
Extended dub feat Ragga Twins;Dubbytek, Ragga Twins;Dub, Vocal, Digital, Steppa;4;8m;145.99971
Cross Rulings;Tiburk Sound System;Dub, Instru, Digital, Electrodub, Future, prog;3;9m;76.500053
TheCrowd ;Radadub;Dub, Vocal, Sample, Downtempo;2;1m;119.992699
Hard Man;Tetra Hydro K;Dub, Vocal, Prog, Digital;3;4m;195.000107
A Must in the City;Cookah, KaYaS;Dub, Vocal, Digital, Dancehall, Electrodub;4;11d;69.000259
Spread Jah Love;Ras Amlak;Dub, Vocal, Digital, Steppa;3;12m;140.0
Summer Day;Soom T;Dub, Vocal, Dubadub, Digital;3;12m;89.998955
Back Away;Haspar, Fikit Amlak;Dub, Vocal, Digital, Steppa;4;7m;140.035233
Hot A Di Press;Panda Dub, Daddy Freddy;Dub, Vocal, Digital, Heavy;4;11m;75.003838
Don't Like Police;RDH Hi-Fi, Tippa Irie;Dub, Vocal, Digital, Police, Steppa;4;7m;145.999451
Trumpets Dem Blow;Sr. Wilson;Dub, Steppa, Vocal, Digital;4;7m;139.999985
Bad Mind Character (Blue Hill rmx);Crosby, Blue Hill;Dub, Vocal, Digital;3;3m;140.000031
Lef mi Nuh Babylon;Ackboo;Dub, Instru, Digital, Electrodub;3;;70.500137
Lef Mi Nuh Dub;Ackboo;Dub, Instru, Digital, Chill;2;;70.500076
Behold Dubplate;AKUFEN, Danman;Dub, Vocal, Digital, Steppa;4;11m;72.499931
Beat Down Babylon - Shimana feat. I-Rebel;Shimana, I-Rebel;Dub, Vocal, Digital, Steppa;4;1m;140.004044
Transworld Telly's Travel;Atili, Telly;Dub, Digital, Instru, Chill;2;10m;155.000137
AZF DUB I & II (INFORMATIVE HISTORY MAN FREEDOM SPECIAL);Brigadier Zongo;Dub, Instru, Digital, Steppa;4;5m;135.999817
Back Attack [PEOPLE UNITE];Abacush;Reggae, Vocal, Dub, OS;3;1m;164.112671
Batta Dem;Abacush;Dub, Vocal, OS;2;11m;69.071854
Ina Sky;Ackboo, Marcus Gad;Dub, Vocal, Digital;4;9m;144.000015
Turn Up the Amplifier;Ackboo, Macky Banton;Dub, Steppa, Vocal, Digital;4;1m;140.007965
Seed Of Redemption melodica;Addis Pabli;Dub, Instru, Melodic;3;1m;144.000153
Africa's Strength ( Compilation HOW DO U DUB ) ;T Horns, Organic Sound;Dub, Instru, Digital, Steppa;4;12m;134.001297
After All Save Our Life Feat. YT;Ashkabad, YT;Dub, Vocal, Digital, Electrodub, Steppa;4;11m;71.99987
Aksu;Frenk Dublin;Dub, Instru, Digital, DubTek,Chill;3;7m;120.000168
The Mistery;Al-Foncc;Dub, Instru, Digital, Chill;2;;144.005234
Alice;Space Raverz;Dub, Sample, ElectroDub, DubTek;3;;162.000015
All Fruits Ripe Riddim;Alpha Steppa;Dub, Instru, Digital, Riddim;3;2m;61.00042
All of a Sudden (Remix);GSS Sound, Moosh & Twist;Dub, Vocal, Digital, ElectroDub;4;2m;146.000351
Concrete Meditation;Alpha Steppa;Dub, Instru, Steppa;3;1m;135.099777
Advanced Peace;Alpha Steppa, Nai Jah;Dub, Vocal, Digital, Melodic, Steppa;3;2m;140.000061
Agapo Riddim;Alpha Steppa;Dub, Instru, Digital, Riddim, Melodic;3;1m;64.999809
Bill Bak Riddim;Alpha Steppa;Dub, Instru, Digital, Riddim;3;11m;77.000015
Bridges Riddim;Alpha Steppa;Dub, Instru, Riddim;3;9m;154.999802
Chanting Riddim;Alpha Steppa;Dub, Instru, Riddim;3;10m;135.000046
Clouds Riddim;Alpha Steppa;Dub, Instru, Riddim;3;6m;80.000069
Country Riddim;Alpha Steppa;Dub, Instru, Riddim;3;7m;72.499954
Fingertips Riddim - black Rain;Alpha Steppa;Dub, Instru, Riddim;3;7m;151.999893
Herbalist Riddim;Alpha Steppa;Dub, Instru, Riddim, Digital;3;F#m;124.000633
I & I Provide (Ft. Tenja);Alpha Steppa, Tenja;Dub, Vocal, Digital, Steppa;4;Am;139.999985
Jaguar Riddim;Alpha Steppa;Dub, Instru, Riddim;4;F#m;77.49984
Jah Jah Creation Riddim;Alpha Steppa;Dub, Instru, Riddim;2;Em;65.999672
Labyrinthe Riddim;Alpha Steppa;Dub, Instru, Riddim, Downtempo;3;Bbm;56.499882
Last Call Riddim;Alpha Steppa;Dub, Instru, Riddim;3;Fm;74.000145
Le Titre qui Tue Riddim;Alpha Steppa;Dub, Instru, Riddim, Digital;3;Eb;77.500267
My People;Alpha Steppa, Block Mameli;Dub, Instru, Riddim;3;Am;79.999565
Progress Riddim;Alpha Steppa;Dub, Instru, Riddim;3;G#m;72.499969
Rain Fall - Dubplate;Alpha Steppa;Dub, Instru, Steppa;3;;139.999908
Rice Traffic Riddim;Alpha Steppa;Dub, Instru, Riddim;2;Cm;119.999992
Roaring Lion Riddim;Alpha Steppa;Dub, Instru, Riddim, Heavy;4;Ebm;85.000137
Sannyasa Riddim;Alpha Steppa;Dub, Instru, Riddim;3;10m;120.000046
Seven Stars Riddim;Alpha Steppa;Dub, Instru, Riddim;3;Dm;127.999283
Shinkansen Dub;Alpha Steppa;Dub, Instru, Steppa, Heavy;4;Am;139.999847
Side Walk Riddim;Alpha Steppa;Dub, Instru, Riddim;3;G#m;75.999931
Teachings (ft Sistah Awa);Alpha Steppa, Sistah Awa;Dub, OS, Vocal;3;Cm;135.00058
Thanks & Praise;Alpha Steppa;Dub, Instru, Digital, Steppa, Heavy;4;Bm;134.999634
The Bubble Riddim;Alpha Steppa;Dub, Instru, Digital, Riddim;3;Ebm;131.999924
The River (John Alpha Mix);Alpha Steppa, I-Sarana;Dub, Instru, Riddim;3;Fm;126.000061
Warmonger Man (ft Ras Tinny);Alpha Steppa, Ras Tinny;Dub, Vocal, Steppa;4;Fm;139.999664
Warmonger Riddim;Alpha Steppa;Dub, Instru, Riddim, Digital, Heavy;4;Fm;139.999969
Africa is Great Riddim;Alpha Steppa;Dub, Instru, Riddim;3;Ebm;80.000023
Alpha Steppa @ Kosmos Festival, Finland 2016;Alpha Steppa;Dub, Instru, Digital, Steppa;4;Ebm;151.974243
Alpha Steppa ft Tenor Youthman - 3rd Kingdom;Panda Dub;Dub, Vocal, Digital, Electrodub;2;Ebm;71.000542
Palestine is Great #streetdub E51 (Bethlehem, West Bank);Alpha Steppa, Nai-Jah;Dub, Vocal, Digital;2;Ebm;79.999855
Alter Echo & E3 Meet Headland & Diggory Kenrick 'Temple Duel' + Dub Khaliphonic 13;ZamZam Sound;Dub, Instru, Digital, Steppa, Heavy, Electrodub;4;Bm;140.0177
Amphibean Dub;Keen Owl;Dub, Instru, Digital, Electrodub, Steppa, Dubtek;4;1m;129.999954
Another Night;PupaJim, Step-Art;Dub, Vocal, Digital, Dubadub, Reggae;2;E;70.500061
Loyal Dub;Antxon Sagardui;Dub, Instru, Steppa, ElectroDub;3;;146.000458
Loyal;Antxon Sagardui, Belén Natali;Dub, Vocal, ElectroDub, Steppa;3;;145.999359
Mama Says;Antxon Sagardui, Isabel Sharpe;Dub, Vocal, Digital;2;Dm;135.000076
Woman Soldier;Antxon Sagardui, Belén Natali, Chalart58;Dub, Vocal, Steppa;3;;140.000778
Woman Soldier (dub version);Antxon Sagardui, Belén Natali, Chalart58;Dub, Instru, Steppa;3;;140.000656
African Rockers Step DUBPLATE - Heartical Youth Sound;Apoo Steppa;Dub, Instru, Digital, Steppa;4;Gm;138.122574
Apostasy - Prayanam Studios;Prayaman;Dub, Instru, Steppa, Downtempo, Heavy;4;Em;58.000061
Remix Yuh Dream;Ashkabad, Baltimores;Dub, Vocal, Reggae;3;G#m;151.999146
Atili ft Pupajim & Biga*Ranx - Subterranean Exodus (Panda Dub remix);Panda Dub;Dub, Vocal, Digital, Electrodub, Dubadub;2;Am;69.999557
Atlas Dub meets Sub Majesty - Legal Dub [Remix];Atlas Dub, Sub Majesty;Dub, Vocal, Digital;4;Em;155.000351
Deejay Digitaly;Atomic Spliff, Joseph Cotton;Dub, Vocal, Digital, Steppa;3;Fm;152.000244
Atropos - Keen Owl;Keen Owl;Dub, Instru, Digital, Steppa, Heavy, Dark;4;Em;130.000702
Aubepines;Biga Ranx, Pupajim;Dub, Vocal, Dubadub, Digital;3;Am;121.080048
Automatic Attack;Stand High Patrol;Dub, Dubadub, Vocal, Digital, Dubstep;4;G#m;139.999863
Aux Champs;Federal Sound;Dub, Vocal, Digital, Russian;3;;154.800293
EAGLE SPIRIT ⁄ EAGLE DUB - Crucial Rob - Prophecy Sound;Crucial Rob, Prophecy Sound;Dub, Instru, Digital, Steppa;4;Am;145.999603
Rise Again + Rise Dub;Digitron Sound, Kenny Knots;Dub, Vocal, Digital, Steppa, Electrodub;4;Em;142.999191
Jah Jah Come;Sista Zari;Dub, Vocal, OS;3;Bbm;82.012115
Wha Do Dub;Black Beanie Dub;Dub, Instru;3;G#m;142.50061
Caught Inna Dem System (Subactive Remix);Longfingah, Subactive;Dub, Vocal, Digital, Steppa;3;Em;140.000092
Air;Baltimores, Kandee Dub;Dub, Vocal, Steppa;3;;134.999695
Education Is The Key;Baltimores;Dub, Vocal, Steppa, Downtempo;2;;76.197372
Political Will;Baltimores, Boom Hi-Fi;Dub, Vocal, Digital, Steppa;3;;68.999847
Duppy Conqueraz;Baltimores, Boom Hi-Fi;Dub, Vocal, ElectroDub;3;;67.999504
Dubby Conqueraz (Dub Version);Baltimores, Boom Hi-Fi;Dub, Instru, ElectroDub, Steppa;3;;135.999954
BASS TEMPERATURE Rmx;Nuw Man;Dub, Instru, Digital, Heavy;3;Fm;160.000687
BENIDUB & YABBY YOU - Reconquering lion (echotronix);Benidub, Yabby You;Dub, Vocal, Digital, OS;4;Ebm;139.744339
Boom Sound - Kojo Neatness - High Pressure Sound System REMIX;Kojo Neatness, High Pressure Sound System;Dub, Vocal, Digital, Steppa;3;F#m;139.999969
Trample The Eagle And The Dragon And The Bear (by A&O vocal Reuben Master) [REMIX];Alpha & Omega;Dub, Vocal, OS;2;Am;136.999908
BROTHER SOUND X MYSTIC WOOD Many road;Brother Sound, Mystic Wood;Dub, Vocal, Digital;4;Ebm;136.999588
Business of war rmx by RFHF;Pupajim, Roots'n Future Hi-Fi;Dub, Vocal, Digital, Dubadub, Steppa;4;Fm;136.999115
Babylon Ago Fall;Kri Des Singes;Dub, Vocal, Digital, Steppa;3;G#m;130.000092
Bad Boy Stepping;Jstar, Ranking Joe;Dub, Vocal, Digital, Dubstep;3;Bbm;71.990379
Bad Cops(Mexican Stepper & Earl 16) Bout40 Sound Remix;Mexican Stepper, Earl 16, Bout40 Sound System;Dub, Vocal, Digital, Electrodub;3;Em;64.495018
Bad Seed - Skunk Kut & Monkey D;Skunk Kut, Monkey D;Dub, Vocal, Digital, Steppa;3;Em;132.000488
Bad War - Thibaud Monnier;Thibaud Monnier;Dub, Steppa, Digital, Instru, Electrodub;4;G#m;154.000702
Badder Them Bad;Ghana Sound System, Mc Joss;Dub, Vocal, ElectroDub;3;;149.999893
Bamba;Daba Makourejah;Dub, Vocal, Digital, Steppa;4;F#m;67.000137
Bamboo Flute Is Dem Speech;Duppy Dub;Dub, Sample, Vocal, FR, Steppa, Digital;3;Am;60.000397
Bamboo's Attack;The Ragga Panda;Dub, Instru, Digital;3;F#m;76.999786
Barbarians;Hydrolik;Dub, Instru, Digital, ElectroDub, Steppa, Heavy;5;Fm;135.000443
I know + Fred Buram;Barbés.D, El Fata;Dub, Vocal, Digital, Electrodub, Steppa;3;Gm;70.000244
I Don't Know;Alpha Steppa, DannyRed, Magma;Dub, Vocal, Digital, Steppa;4;G#m;145.001038
Rise(part 2);BassDefender, Ka Dub;Dub, Instru, Steppa, Digital, Heavy;4;Am;138.999527
Portuko Ranpi;BassDefender;Dub, Instru, ElectroDub, Steppa;3;;139.999786
Portuko Dub;BassDefender;Dub, Instru, ElectroDub, Steppa;3;;139.99942
Sand Storm;BassDefender;Dub, Instru, ElectroDub, Steppa;3;;75.000793
Oasis;BassDefender;Dub, Instru, ElectroDub, Steppa;3;;130.000549
Virtual Tribe;BassDefender;Dub, Instru, ElectroDub, Steppa;3;;67.500076
Lost Caravan;BassDefender;Dub, Instru, ElectroDub, Steppa;3;;145.001389
Be careful Rmx;Dub Serum;Dub, Vocal, Digital , Steppa;3;G#m;159.999924
Be Wise - mix 1;Mexican Stepper;Dub, Instru, Digital, Steppa, Electrodub, Heavy;4;Em;129.000168
Be serious;CrudoBilbao Estudios;Dub, Instru, Digital, Steppa, Electrodub ;4;E;139.999985
Beautiful Day ft TriXstar Remix;GSS Sound, TriXstar;Dub, Vocal, Digital;2;Cm;75.000092
Menace tenace;Bhale Bacce Crew;Dub, Vocal, Reggae, FR;3;C#m;160.000565
Own the Night;Biga Ranx;Dub, Vocal, Heavy, Digital;4;F#m;143.000015
D.I.Y.;Biga Ranx;Dub, Vocal, Digital, Heavy, Electrodub, Dubadub;4;Gm;152.000275
Mexico (Lil Slow & Telly_ Remix) [Clip officiel];Biga Ranx, Lil Slow, Telly;Dub, Vocal, Digital, FR;2;Dm;62.000088
My Driver (Lil'Slow Remix);Biga Ranx, Lil'Slow;Dub, Vocal, Digital, ElectroDub;3;G#m;130.999054
Regarde-moi;Biga Ranx;Dub, Vocal, FR, Digital, Dubadub;2;Gm;72.000275
Stop Them (& Dub);Billy Joe Morgan;Dub, Vocal, OS, Reggae;2;G#m;140.953491
Gun Shot ⁄ Dub Shot;Shanti D, Bim One;Dub, Vocal, Digital, Dubadub, Steppa;4;Em;150.001602
Birds in Space;Musical Warryahs;Dub, Instru, Digital, Steppa;4;Em;141.001175
Breakthrough (ft. Towst) [Owl Trackers Remix];Bisou, Towst, Owl Trackers;Dub, Vocal, Digital, Electrodub, Steppa;4;Bm;70.001991
Wha Do Dem;Black Beanie Dub;Dub, Instru, Steppa;3;G#m;142.500427
REVOLUTION Part 1;Black Hole Sound;Dub, Instru, Digital, Heavy;5;2m;128.00029
WARFARE MIX 1;Black Hole Sound;Dub, Steppa, Digital, Instru;5;2m;70.000244
Black Soulie - War On Crack(feat.Antxon Sagardui);Black Soulie, Anxton Sagardui;Dub, Vocal, Digital, Dubadub;3;Am;80.00013
Black Wax Riddim;Alpha Steppa;Dub, Instru, Riddim;3;Bbm;113.999962
Blind Prophet ft. Tenor Youthman - Marijuana Burns Capitalism;Blind Prophet, Tenor Youthman;Dub, Vocal, Digital;2;Cm;66.503059
Stepping Youth;Blue Hill;Dub, Vocal, Digital;4;Bbm;140.001297
Blue Hill feat. Lutan Fyah - Get Out [Dubbing Sun Remix];Blue Hill, Lutan Fyah, Dubbing sun;Dub, Vocal, Digital, Steppa;4;Ebm;132.000519
Blue Wax;Stand High Patrol;Dub, Instru, Digital;2;C#m;94.499779
Boat People;Stand High Patrol;Dub, Dubadub, Vocal, Digital;3;Gm;160.999786
Bomatsh & Bredda Skankers - Marabù;Botmash, Bredda Skankers;Dub, Digital, Steppa, Heavy, Instru, Sample;4;Eb;125.00032
Boubou Bou;Tiburk;Dub, Instru, Digital, Electrodub;4;Dm;150.000183
Royal Salute (Sound System version);Brain Damage Dub Sessions, Sir Jean;Dub, Vocal, Digital;3;Cm;136.001755
Braintro;Brainless;Dub, Instru, Sample, Digital, Steppa;3;Bbm;76.500748
Dub 0;Brainless Sound System;Dub, Digital, Instru, Sample, Electrodub;3;Fm;128.00058
Take a Selfie;Brainless;Dub, Vocal, Digital, Dubadub;3;Em;79.0
Brain Dub;Brainless;Dub, Instru, Digital, Electrodub;4;Bbm;76.000153
SYSTEM SET;Sr Wilson, King Hifi Sound, Brainless;Dub, Digital, Vocal, Dubadub, Electrodub;3;Bm;75.000221
Saxoquake;Brainless, High Natural;Dub, Instru, Digital, Saxo;4;G#m;70.999931
Branche le Microphone;Boom Hi-Fi, Lucky;Dub, Vocal, Digital, FR;3;Bbm;68.999992
Brand New - Riddim;Massilia Hi-Fi;Dub, Instru, Digital;3;;70.000061
Branquignole Stepper;Karst, DopamineDub;Dub, Instru, Sample, FR, Digtal, Steppa;3;Gm;154.999771
Brest Bay;Stand High Patrol;Dub, Vocal, Dubadub, Digital, Heavy;3;Bbm;87.499992
Brittle Bones;Kri Des Singes;Dub, Instru, Digital, Electrodub, Steppa ;4;Dm;135.000366
12 Lights;Brother Culture, Derrick Sound;Dub, Vocal, Reggae;3;Am;69.999992
"Brother Culture &amp; ODG - Critical";Brother Culture, ODG;Dub, Vocal, Digital, Electrodub, Dubstep;4;Am;75.000008
Brother Culture - Good Words (Dubplate)+ DUB - Welders Hi Fi;Brother Culture, Welders Hi Fi;Dub, Vocal, Digital, Steppa;4;Gm;134.999451
Brownie & Sprite - Preview - Y-Zen FarfaDub;FarfaDub;Dub, Instru, Digital, Steppa, Heavy;4;Fm;130.00206
Cardio;Charlie P, Bru-C;Dub, Vocal, ElectroDub, DnB;4;2m;174.000198
Budaman;Namadub;Dub, Instru, Digital, Steppa, Heavy, Melodic;4;F#m;135.999481
Bukkha & Madplate Sound ft. Brother Culture - Obliterate (Part I);Bukkha, Madplate Sound, Brother Culture;Dub, Vocal, Digital, Steppa;4;Gm;120.005753
Bum Di Ganja;Rebel-I, Bass Culture Players, George Palmer;Dub, Vocal, Digital, Steppa;4;Ebm;159.999741
Bungalo Dub-Numba One  feat. Kuga Man;Bungalo Dub, Kuga Man;Dub, Vocal, Digital, Steppa, Heavy;4;Ebm;138.999847
Burn;Digiman Dub;Dub, Steppa, Instru, Digital, Heavy;4;F;72.999557
Burn Down Babylon;The Ragga Panda;Dub, Instru, Digital;3;Dm;135.000107
Bādala   बादल;Jungle Weed;Dub, Instru, Digital, Steppa;3;Cm;119.999161
C'est pas sorcier - Skunk kut;Skunk Kut;Dub, Instru, Digital;3;;124.000198
CHARLIE P  WATCH OUT - Jahlix;Charlie P, Jahlix;Dub, Vocal, Digital, Dubadub, Steppa, Chill;3;;153.649826
SALUTE + DUB - (SAMPLE) - DELMIGHTY SOUNDS;Charlie P, Delmighty Sound;Dub, Vocal, Digital;3;10m;79.00058
CONFUCHA;Dub Wander;Dub, Sample, Steppa, Digital, FR;4;Bbm;130.000595
CUSS CUSS rmx;Leruja;Dub, Instru, Steppa, Digital, Uptempo;4;Bm;154.999084
Calabria RMX - WATTA BONGO;Watta Bongo;Dub, Vocal, Digital;4;F#m;125.99929
Call on Dub;Mr Zebre, YT;Dub, Vocal, Digital, Steppa;4;Am;146.000122
