0;1;2;3;4;5;6;7;8
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Riddim;;;;;;
Dub;Instru;Riddim;;;;;;
Dub;Instru;Riddim;Downtempo;;;;;
Dub;Instru;Riddim;;;;;;
Dub;Instru;Riddim;Digital;;;;;
Dub;Instru;Riddim;;;;;;
Dub;Instru;Riddim;;;;;;
Dub;Instru;Steppa;;;;;;
Dub;Instru;Riddim;;;;;;
Dub;Instru;Riddim;Heavy;;;;;
Dub;Instru;Riddim;;;;;;
Dub;Instru;Riddim;;;;;;
Dub;Instru;Steppa;Heavy;;;;;
Dub;Instru;Riddim;;;;;;
Dub;OS;Vocal;;;;;;
Dub;Instru;Digital;Steppa;Heavy;;;;
Dub;Instru;Digital;Riddim;;;;;
Dub;Instru;Riddim;;;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Instru;Riddim;Digital;Heavy;;;;
Dub;Instru;Riddim;;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Instru;Digital;Steppa;Heavy;Electrodub;;;
Dub;Instru;Digital;Electrodub;Steppa;Dubtek;;;
Dub;Vocal;Digital;Dubadub;Reggae;;;;
Dub;Instru;Steppa;ElectroDub;;;;;
Dub;Vocal;ElectroDub;Steppa;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Instru;Steppa;;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Instru;Steppa;Downtempo;Heavy;;;;
Dub;Vocal;Reggae;;;;;;
Dub;Vocal;Digital;Electrodub;Dubadub;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Digital;Steppa;Heavy;Dark;;;
Dub;Vocal;Dubadub;Digital;;;;;
Dub;Dubadub;Vocal;Digital;Dubstep;;;;
Dub;Vocal;Digital;Russian;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Digital;Steppa;Electrodub;;;;
Dub;Vocal;OS;;;;;;
Dub;Instru;;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Steppa;;;;;;
Dub;Vocal;Steppa;Downtempo;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;ElectroDub;;;;;;
Dub;Instru;ElectroDub;Steppa;;;;;
Dub;Instru;Digital;Heavy;;;;;
Dub;Vocal;Digital;OS;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;OS;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Dubadub;Steppa;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;Dubstep;;;;;
Dub;Vocal;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Steppa;Digital;Instru;Electrodub;;;;
Dub;Vocal;ElectroDub;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Sample;Vocal;FR;Steppa;Digital;;;
Dub;Instru;Digital;;;;;;
Dub;Instru;Digital;ElectroDub;Steppa;Heavy;;;
Dub;Vocal;Digital;Electrodub;Steppa;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Steppa;Digital;Heavy;;;;
Dub;Instru;ElectroDub;Steppa;;;;;
Dub;Instru;ElectroDub;Steppa;;;;;
Dub;Instru;ElectroDub;Steppa;;;;;
Dub;Instru;ElectroDub;Steppa;;;;;
Dub;Instru;ElectroDub;Steppa;;;;;
Dub;Instru;ElectroDub;Steppa;;;;;
Dub;Vocal;Digital ;Steppa;;;;;
Dub;Instru;Digital;Steppa;Electrodub;Heavy;;;
Dub;Instru;Digital;Steppa;Electrodub ;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Reggae;FR;;;;;
Dub;Vocal;Heavy;Digital;;;;;
Dub;Vocal;Digital;Heavy;Electrodub;Dubadub;;;
Dub;Vocal;Digital;FR;;;;;
Dub;Vocal;Digital;ElectroDub;;;;;
Dub;Vocal;FR;Digital;Dubadub;;;;
Dub;Vocal;OS;Reggae;;;;;
Dub;Vocal;Digital;Dubadub;Steppa;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Vocal;Digital;Electrodub;Steppa;;;;
Dub;Instru;Steppa;;;;;;
Dub;Instru;Digital;Heavy;;;;;
Dub;Steppa;Digital;Instru;;;;;
Dub;Vocal;Digital;Dubadub;;;;;
Dub;Instru;Riddim;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Digital;;;;;;
Dub;Dubadub;Vocal;Digital;;;;;
Dub;Digital;Steppa;Heavy;Instru;Sample;;;
Dub;Instru;Digital;Electrodub;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Instru;Sample;Digital;Steppa;;;;
Dub;Digital;Instru;Sample;Electrodub;;;;
Dub;Vocal;Digital;Dubadub;;;;;
Dub;Instru;Digital;Electrodub;;;;;
Dub;Digital;Vocal;Dubadub;Electrodub;;;;
Dub;Instru;Digital;Saxo;;;;;
Dub;Vocal;Digital;FR;;;;;
Dub;Instru;Digital;;;;;;
Dub;Instru;Sample;FR;Digtal;Steppa;;;
Dub;Vocal;Dubadub;Digital;Heavy;;;;
Dub;Instru;Digital;Electrodub;Steppa ;;;;
Dub;Vocal;Reggae;;;;;;
Dub;Vocal;Digital;Electrodub;Dubstep;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Digital;Steppa;Heavy;;;;
Dub;Vocal;ElectroDub;DnB;;;;;
Dub;Instru;Digital;Steppa;Heavy;Melodic;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Digital;Steppa;Heavy;;;;
Dub;Steppa;Instru;Digital;Heavy;;;;
Dub;Instru;Digital;;;;;;
Dub;Instru;Digital;Steppa;;;;;
Dub;Instru;Digital;;;;;;
Dub;Vocal;Digital;Dubadub;Steppa;Chill;;;
Dub;Vocal;Digital;;;;;;
Dub;Sample;Steppa;Digital;FR;;;;
Dub;Instru;Steppa;Digital;Uptempo;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Digital;;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;Sample;Steppa;Digital;Electrodub;Heavy;;
Dub;Instru;Digital;Melodic;;;;;
Dub;Instru;Digital;Steppa;Heavy;;;;
Dub;Instru;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;;;;;;
Dub;Vocal;Digital;Dubadub;;;;;
Dub;Digital;Vocal;;;;;;
Dub;Vocal;Digital;Dubadub;;;;;
Dub;Vocal;Digital;Steppa;Heavy;;;;
Dub;Instru;Digital;ElectroDub;;;;;
Dub;Chill;Instru;Melodic;;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Vocal;Steppa;Heavy;Uptempo;;;;
Dub;Vocal;Digital;Steppa;;;;;
Dub;Instru;ElectroDub;;;;;;
Dub;Instu;ElectroDub;Dubstep;;;;;
Dub;Dubadub;Vocal;Digital;;;;;
Dub;Vocal;FR;Digital;Uptempo;;;;
Dub;Sample;Instru;Digital;Steppa;Melodic;;;
Dub;Instru;Mélodique;;;;;;
Dub;Instru;Digital;Electrodub;;;;;
Dub;Vocal;Digital;Dubadub;Steppa;;;;
Dub;Instru;Digital;Steppa;Melodic;;;;
Dub;Instru;Steppa;Heavy;Digital;;;;
Dub;Instru;Digital;Steppa;Heavy;;;;
Dub;Instru;Digital;Electrodub;Steppa;Prog;;;
